document_id,country,source_name,document_type,title,date,text,extracted_keywords,detected_topics,smr_signal,geniv_signal,financing_signal,policy_support_signal,delay_risk_signal,sentiment_or_policy_score
policy-us-001,United States,DOE advanced nuclear strategy,strategy,Advanced nuclear fuel and demonstration policy,2024-01-01,"Advanced reactors, SMR demonstrations, HALEU fuel supply, licensing modernization, clean firm power and industrial heat are recurring policy priorities.",,"SMR,Gen IV,Delay Risk,Decarbonization,Industrial Heat",1,1,0,65,1,65
policy-cn-001,China,State nuclear expansion plan,strategy,Nuclear expansion and advanced reactor program,2024-01-01,"Large PWR buildout continues alongside HTR-PM demonstration, fast reactor development and energy security framing.",,"Gen IV,Fast Reactor,Energy Security",0,1,0,47,0,47
policy-fr-001,France,French energy planning document,strategy,Nuclear renaissance and EPR2 program,2024-01-01,France announced construction of six EPR2 units and potential for additional reactors. Energy sovereignty and decarbonization are primary drivers.,,"Delay Risk,Decarbonization",0,0,0,38,1,38
policy-ru-001,Russia,Rosatom export strategy,technology,Fast reactor and closed fuel cycle development,2024-01-01,"Fast reactor deployment, sodium-cooled technology, MOX fuel and closed fuel cycle strategy are emphasized.",,"Gen IV,Fast Reactor",0,1,0,38,0,38
policy-ca-001,Canada,OPG SMR deployment program,project,Darlington SMR deployment BWRX-300,2024-01-01,"SMR deployment, BWRX-300 licensing, grid reliability and clean electricity targets are emphasized.",,"SMR,Delay Risk,Energy Security,Decarbonization",1,0,0,56,1,56
policy-uk-001,United Kingdom,UK nuclear strategy,strategy,Hinkley Point C and future nuclear,2024-01-01,"Hinkley Point C EPR construction, SMR program evaluation, energy security and net zero targets.",,"SMR,Delay Risk,Energy Security,Decarbonization",1,0,0,56,1,56
policy-pl-001,Poland,Polish nuclear energy program,strategy,First nuclear power plant program,2024-01-01,"Energy security, coal replacement, AP1000 technology selection, supply chain development and EU financing.",,"Financing,Delay Risk,Energy Security",0,0,1,47,1,47
policy-in-001,India,Nuclear power expansion,strategy,DAE long-term nuclear expansion program,2024-01-01,"Domestic PHWR fleet expansion, PFBR fast breeder reactor, Kudankulam expansion and thorium fuel cycle development.",,Thorium,0,0,0,29,0,29
policy-ar-001,Argentina,CNEA nuclear plan,technology,CAREM SMR and nuclear expansion,2024-01-01,"CAREM small modular reactor development, domestic engineering capability and long nuclear experience are highlighted.",,SMR,1,0,0,29,0,29
policy-kr-001,South Korea,KEPCO export strategy,strategy,APR1400 technology export and domestic expansion,2024-01-01,"APR1400 export success (UAE), Shin Hanul expansion, SMR development (i-SMR) and hydrogen production.",,"SMR,Industrial Heat",1,0,0,38,0,38
