document_id,country,source_name,document_type,title,date,text
policy-us-001,United States,DOE advanced nuclear strategy,strategy,Advanced nuclear fuel and demonstration policy,2024-01-01,"Advanced reactors, SMR demonstrations, HALEU fuel supply, licensing modernization, clean firm power and industrial heat are recurring policy priorities."
policy-cn-001,China,State nuclear expansion plan,strategy,Nuclear expansion and advanced reactor program,2024-01-01,"Large PWR buildout continues alongside HTR-PM demonstration, fast reactor development and energy security framing."
policy-fr-001,France,French energy planning document,strategy,Nuclear renaissance and EPR2 program,2024-01-01,France announced construction of six EPR2 units and potential for additional reactors. Energy sovereignty and decarbonization are primary drivers.
policy-ru-001,Russia,Rosatom export strategy,technology,Fast reactor and closed fuel cycle development,2024-01-01,"Fast reactor deployment, sodium-cooled technology, MOX fuel and closed fuel cycle strategy are emphasized."
policy-ca-001,Canada,OPG SMR deployment program,project,Darlington SMR deployment BWRX-300,2024-01-01,"SMR deployment, BWRX-300 licensing, grid reliability and clean electricity targets are emphasized."
policy-uk-001,United Kingdom,UK nuclear strategy,strategy,Hinkley Point C and future nuclear,2024-01-01,"Hinkley Point C EPR construction, SMR program evaluation, energy security and net zero targets."
policy-pl-001,Poland,Polish nuclear energy program,strategy,First nuclear power plant program,2024-01-01,"Energy security, coal replacement, AP1000 technology selection, supply chain development and EU financing."
policy-in-001,India,Nuclear power expansion,strategy,DAE long-term nuclear expansion program,2024-01-01,"Domestic PHWR fleet expansion, PFBR fast breeder reactor, Kudankulam expansion and thorium fuel cycle development."
policy-ar-001,Argentina,CNEA nuclear plan,technology,CAREM SMR and nuclear expansion,2024-01-01,"CAREM small modular reactor development, domestic engineering capability and long nuclear experience are highlighted."
policy-kr-001,South Korea,KEPCO export strategy,strategy,APR1400 technology export and domestic expansion,2024-01-01,"APR1400 export success (UAE), Shin Hanul expansion, SMR development (i-SMR) and hydrogen production."
