source_name,source_type,url,fields_used,limitations,reliability_rating,ingestion_mode,date_accessed
IAEA PRIS,official reactor database,https://pris.iaea.org/PRIS/,"reactor status, country, type, capacity, dates",Interactive/public pages are not always bulk-download friendly; manual export may be required.,high,manual_template,2026-05-18
IAEA RDS-1,official projection report,https://www.iaea.org/publications/search/type/reference-data-series,low/high nuclear capacity projections to 2050,Often published as PDF tables; manual table extraction may be required.,high,manual_template,2026-05-18
IAEA ARIS,official advanced reactor information system,https://aris.iaea.org/,advanced reactor design metadata,Design pages vary by completeness and may require manual review.,high,manual_template,2026-05-18
IAEA SMR Catalogue,official/publication catalogue,https://aris.iaea.org/Publications/SMR_booklet_2022.pdf,SMR design metadata and use cases,PDF catalogue; manually curated table recommended.,high,manual_template,2026-05-18
World Nuclear Association,industry association,https://world-nuclear.org/information-library,"country profiles, planned/proposed reactors, technology descriptions",Useful strategic source; status definitions may differ from official datasets.,medium-high,manual_template,2026-05-18
Global Energy Monitor Nuclear Power Tracker,NGO facility tracker,https://globalenergymonitor.org/projects/global-nuclear-power-tracker/,"facility/unit status, capacity, owner/operator, coordinates",Excellent facility view; cross-source reconciliation required.,medium-high,manual_template,2026-05-18
Our World in Data Energy,open data,https://github.com/owid/energy-data,"generation by source, electricity demand, nuclear share",Country/year energy indicators; not a reactor project source.,high,download_optional,2026-05-18
World Bank WDI,open API,https://api.worldbank.org/v2/,"GDP, population, income group context",Coverage and latest-year availability vary by indicator.,high,download_optional,2026-05-18
EIA International,government energy data,https://www.eia.gov/international/data/world,energy context where available,API access may require key depending on endpoint.,high,documented_optional,2026-05-18
Labeled Dirty Sample Data,sample fallback,local:data/raw/sample,complete demo schema for pipeline execution,Sample data for demonstration only; never presented as real source-of-record.,sample-only,generated,2026-05-18
