technology_family,reactor_type,coolant,moderator,neutron_spectrum,fuel_cycle,fuel_type,generation_category,deployment_status,smr_flag,geniv_flag,thorium_potential_flag,molten_salt_flag,fast_reactor_flag,known_operating_units,known_under_construction_units,maturity_score,commercial_maturity_level,notes
Light Water Reactor,PWR,water,water,thermal,once-through/LEU,uranium oxide,Gen II/III/III+,commercial,False,False,False,False,False,198.0,5.0,100.0,commercial,"Score combines public deployment status, units in sample pipeline, novelty and regulatory familiarity. Sample-linked counts are illustrative until real data is ingested."
Light Water Reactor,BWR,water,water,thermal,once-through/LEU,uranium oxide,Gen II/III,commercial,False,False,False,False,False,40.0,0.0,100.0,commercial,"Score combines public deployment status, units in sample pipeline, novelty and regulatory familiarity. Sample-linked counts are illustrative until real data is ingested."
Heavy Water Reactor,PHWR,heavy water,heavy water,thermal,natural uranium/LEU,uranium oxide,Gen II/III,commercial,False,False,False,False,False,41.0,3.0,100.0,commercial,"Score combines public deployment status, units in sample pipeline, novelty and regulatory familiarity. Sample-linked counts are illustrative until real data is ingested."
Light Water Reactor,VVER,water,water,thermal,once-through/LEU,uranium oxide,Gen III/III+,commercial,False,False,False,False,False,66.0,17.0,100.0,commercial,"Score combines public deployment status, units in sample pipeline, novelty and regulatory familiarity. Sample-linked counts are illustrative until real data is ingested."
Light Water Reactor,EPR,water,water,thermal,once-through/LEU,uranium oxide,Gen III+,commercializing,False,False,False,False,False,4.0,2.0,90.4,commercial,"Score combines public deployment status, units in sample pipeline, novelty and regulatory familiarity. Sample-linked counts are illustrative until real data is ingested."
Light Water Reactor,AP1000,water,water,thermal,once-through/LEU,uranium oxide,Gen III+,commercializing,False,False,False,False,False,6.0,3.0,97.6,commercial,"Score combines public deployment status, units in sample pipeline, novelty and regulatory familiarity. Sample-linked counts are illustrative until real data is ingested."
Small Modular Reactor,SMR-LWR,water,water,thermal,once-through/LEU/HALEU possible,uranium oxide,SMR/Gen III+,first deployment,True,False,False,False,False,0.0,1.0,49.8,demonstration,"Score combines public deployment status, units in sample pipeline, novelty and regulatory familiarity. Sample-linked counts are illustrative until real data is ingested."
Gas-Cooled Reactor,HTGR,helium,graphite,thermal,LEU/HALEU,TRISO,Gen IV candidate,demonstration/early commercial,True,True,False,False,False,1.0,0.0,43.2,demonstration,"Score combines public deployment status, units in sample pipeline, novelty and regulatory familiarity. Sample-linked counts are illustrative until real data is ingested."
Fast Reactor,SFR,sodium,none,fast,closed fuel cycle possible,MOX/metal,Gen IV candidate,limited operating experience,False,True,False,False,True,2.0,1.0,49.2,demonstration,"Score combines public deployment status, units in sample pipeline, novelty and regulatory familiarity. Sample-linked counts are illustrative until real data is ingested."
Fast Reactor,LFR,lead/lead-bismuth,none,fast,closed fuel cycle possible,nitride/metal,Gen IV candidate,concept/licensing,True,True,False,False,True,0.0,0.0,25.0,early-stage,"Score combines public deployment status, units in sample pipeline, novelty and regulatory familiarity. Sample-linked counts are illustrative until real data is ingested."
Molten Salt Reactor,MSR,molten salt,graphite/none,thermal/fast,thorium or uranium possible,liquid fuel/salt,Gen IV candidate,concept/demonstration,True,True,True,True,False,0.0,0.0,22.0,early-stage,"Score combines public deployment status, units in sample pipeline, novelty and regulatory familiarity. Sample-linked counts are illustrative until real data is ingested."
Thorium Fuel Cycle,Thorium concepts,varies,varies,thermal/fast,thorium/U-233,thorium-bearing,advanced fuel cycle,R&D/concept,False,True,True,False,False,0.0,0.0,18.0,early-stage,"Score combines public deployment status, units in sample pipeline, novelty and regulatory familiarity. Sample-linked counts are illustrative until real data is ingested."
Microreactor,Microreactor,varies,varies,thermal/fast,HALEU likely,TRISO/metal,advanced,prototype/concept,True,True,False,False,False,0.0,0.0,20.0,early-stage,"Score combines public deployment status, units in sample pipeline, novelty and regulatory familiarity. Sample-linked counts are illustrative until real data is ingested."
